GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType	Regulation	log2FoldChange	Adjusted_P-value
1000	CDH2	CD325|CDHN|CDw325|NCAD	MIM:114020|HGNC:HGNC:1759|Ensembl:ENSG00000170558|Vega:OTTHUMG00000059940	18q12.1	cadherin 2	protein-coding	Up	6.79	1.31e-07
1001	CDH3	CDHP|HJMD|PCAD	MIM:114021|HGNC:HGNC:1762|Ensembl:ENSG00000062038|Vega:OTTHUMG00000137560	16q22.1	cadherin 3	protein-coding	Up	4.64	0.000372
101	ADAM8	CD156|CD156a|MS2	MIM:602267|HGNC:HGNC:215|Ensembl:ENSG00000151651|Vega:OTTHUMG00000019309	10q26.3	ADAM metallopeptidase domain 8	protein-coding	Up	4.29	0.00313
1012	CDH13	CDHH|P105	MIM:601364|HGNC:HGNC:1753|Ensembl:ENSG00000140945|Vega:OTTHUMG00000176635	16q23.3	cadherin 13	protein-coding	Down	-4.21	2.9e-06
10232	MSLN	MPF|SMRP	MIM:601051|HGNC:HGNC:7371|Ensembl:ENSG00000102854|Vega:OTTHUMG00000047992	16p13.3	mesothelin	protein-coding	Down	-8.09	2.21e-05
10266	RAMP2	-	MIM:605154|HGNC:HGNC:9844|Ensembl:ENSG00000131477|Vega:OTTHUMG00000180648	17q21.2	receptor activity modifying protein 2	protein-coding	Down	-5.21	0.000119
1029	CDKN2A	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	MIM:600160|HGNC:HGNC:1787|Ensembl:ENSG00000147889|Vega:OTTHUMG00000019686	9p21.3	cyclin dependent kinase inhibitor 2A	protein-coding	Up	5.42	0.000154
1030	CDKN2B	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b	MIM:600431|HGNC:HGNC:1788|Ensembl:ENSG00000147883|Vega:OTTHUMG00000019691	9p21.3	cyclin dependent kinase inhibitor 2B	protein-coding	Down	-2.58	0.017
1033	CDKN3	CDI1|CIP2|KAP|KAP1	MIM:123832|HGNC:HGNC:1791|Ensembl:ENSG00000100526|Vega:OTTHUMG00000140302	14q22.2	cyclin dependent kinase inhibitor 3	protein-coding	Up	6.47	0.015
10365	KLF2	LKLF	MIM:602016|HGNC:HGNC:6347|Ensembl:ENSG00000127528|Vega:OTTHUMG00000182330	19p13.11	Kruppel like factor 2	protein-coding	Down	-4.93	0.0306
