gene,mean_tumor,mean_normal,log2fc,t_stat,pvalue,pvalue_adj,neg_log10_padj,cohens_d,significant,direction
IFITM3,13.203889302057593,0.9009717945068647,12.30291750755073,324.02049184514664,0.0,0.0,300.0,20.715560621876982,True,up
PTP4A1,12.57307257589843,0.637517903125411,11.935554672773018,277.52823508467674,0.0,0.0,300.0,17.698668460394405,True,up
EEF1A1P9,12.579964022601395,1.3041331447109061,11.275830877890488,330.67404271003073,0.0,0.0,300.0,20.378396972918434,True,up
UBB,13.649379793757557,2.8100774686682595,10.839302325089298,156.59194390688063,0.0,0.0,300.0,8.768325250532696,True,up
MALL,12.336856716567768,2.1539820401305243,10.182874676437244,136.26314104615233,0.0,0.0,300.0,8.442579022227541,True,up
ZC3H11A,11.74276189063311,1.6994642262493427,10.043297664383768,367.9497359884498,0.0,0.0,300.0,22.60415336448289,True,up
DSP,12.393973735413704,2.8022619930857595,9.591711742327945,124.81412534839744,0.0,0.0,300.0,7.959377489895317,True,up
C4A,12.489751784836338,2.92111992417077,9.568631860665569,130.03620092017377,0.0,0.0,300.0,8.126692266932615,True,up
EIF5AL1,10.490953788235947,1.0833866577871742,9.407567130448772,262.4202611516364,0.0,0.0,300.0,15.826358223184869,True,up
SIK1,11.310805099028421,1.9230167047954558,9.387788394232965,108.33716381104766,0.0,0.0,300.0,6.453792981843509,True,up
CP,12.282762475511221,2.9129969242702036,9.369765551241018,86.23523798981347,0.0,0.0,300.0,5.4049339877762925,True,up
DSG2,11.75611087544275,2.3885094424935316,9.367601432949218,158.7189263460837,0.0,0.0,300.0,9.790193377373008,True,up
TMPRSS4,10.21906554043691,0.9027361104431859,9.316329429993724,88.80240615823276,0.0,0.0,300.0,5.638721363299624,True,up
FTH1,15.25839467807587,5.9456943170098455,9.312700361066025,181.61453879602257,0.0,0.0,300.0,10.549664538025112,True,up
NOMO3,10.583621538599989,1.324250293671795,9.259371244928193,249.4861316086068,0.0,0.0,300.0,15.500028184830283,True,up
ANXA2P2,12.414757451974765,3.2676868633068925,9.147070588667873,188.19714525649331,0.0,0.0,300.0,11.479621310444964,True,up
MMP11,10.153845330531519,1.2266213925873741,8.927223937944145,94.88519717341025,0.0,0.0,300.0,6.096666950373054,True,up
SPP1,12.447280015835567,3.6600225599227816,8.787257455912785,77.96731322000414,0.0,0.0,300.0,4.793822131240157,True,up
DDX47,10.063645919287472,1.2782414044441779,8.785404514843295,256.75099281513536,0.0,0.0,300.0,15.31279198663772,True,up
TOP2A,10.81061761829621,2.059762978134392,8.750854640161817,117.16274183297148,0.0,0.0,300.0,7.195141183245043,True,up
TUBB3,10.523345376429697,1.817767560887781,8.705577815541917,105.75932353036175,0.0,0.0,300.0,6.57211752333247,True,up
AHNAK2,10.574369849110383,1.876465374106992,8.69790447500339,96.87937927287098,0.0,0.0,300.0,6.2035126359589015,True,up
TMED3,11.449357760966892,2.7564731191605585,8.692884641806334,232.2771815619077,0.0,0.0,300.0,14.510059776992923,True,up
CENPF,9.640638270719448,0.9666900277416081,8.67394824297784,134.08347221971468,0.0,0.0,300.0,8.505866265948562,True,up
HS6ST2,9.152760483727134,0.5414840173577219,8.611276466369413,104.05938079574418,0.0,0.0,300.0,6.758214192394918,True,up
CDH3,10.443816943703043,1.8408162102688341,8.60300073343421,93.16107567382902,0.0,0.0,300.0,5.923476461606475,True,up
COL10A1,9.372708726489845,0.7745466742218026,8.598162052268043,98.68768031848526,0.0,0.0,300.0,6.298058244712393,True,up
SULT1A3,9.588368820434976,0.9928995389776143,8.595469281457362,197.3519846807496,0.0,0.0,300.0,12.569028129190297,True,up
HMGB3,11.977658497377305,3.4389567794773113,8.538701717899993,121.19213767467687,0.0,0.0,300.0,7.655250731911763,True,up
DIABLO,9.873688757555952,1.3706242939548876,8.503064463601063,313.24760682144307,0.0,0.0,300.0,19.48886574808049,True,up
MKI67,10.229025762799333,1.7317431206858405,8.497282642113493,122.87747250862246,0.0,0.0,300.0,7.642538034701151,True,up
B3GNT3,9.302929006506105,0.8080278225463158,8.494901183959788,106.64678545591364,0.0,0.0,300.0,6.792721250438932,True,up
POLR2J3,9.648601595019032,1.1782416346060993,8.470359960412933,188.4422363299494,0.0,0.0,300.0,12.10143641174709,True,up
SPTBN2,9.862148170754041,1.4860497496456786,8.376098421108363,164.27329954153342,0.0,0.0,300.0,10.325717938987957,True,up
BOLA2,10.199352580753956,1.8243123223632816,8.375040258390674,213.54535518208903,0.0,0.0,300.0,13.103119028315666,True,up
ASPH,12.622079014484092,4.3224353709936905,8.299643643490402,142.3437489080275,0.0,0.0,300.0,9.173130797957363,True,up
ATP1B1,13.336416769166132,5.0634577849682545,8.272958984197878,134.58865935311448,0.0,0.0,300.0,8.29468346243339,True,up
PROM2,10.37900917924128,2.1083961544879704,8.27061302475331,119.7330961796715,0.0,0.0,300.0,7.576434084264142,True,up
GREM1,9.126130419990263,0.8624999863902849,8.263630433599978,76.89819127489214,0.0,0.0,300.0,4.908115657438905,True,up
NOMO2,10.932202106014405,2.6717250066986646,8.26047709931574,197.4985921323435,0.0,0.0,300.0,12.334888179375227,True,up
MET,11.654155084094436,3.4901461773288083,8.164008906765627,89.90382487830003,0.0,0.0,300.0,5.686766114104972,True,up
HLA-H,11.550663929829255,3.407504274019163,8.143159655810093,153.32324159877874,0.0,0.0,300.0,9.445323926762876,True,up
CIT,10.518951451940994,2.3842877661956163,8.134663685745378,97.0569859629878,0.0,0.0,300.0,6.125844197307424,True,up
TRIM2,10.87378981411884,2.7512948408140345,8.122494973304805,147.20229903190108,0.0,0.0,300.0,9.370725227767132,True,up
RRM2,9.651743647935323,1.5457876924812435,8.10595595545408,112.95118077651236,0.0,0.0,300.0,6.959975205396603,True,up
CDH1,13.07022870091948,4.979216380156205,8.091012320763276,138.8311126949311,0.0,0.0,300.0,8.233624009296589,True,up
GET4,10.12330014577221,2.0562658873900688,8.067034258382142,245.5916366099745,0.0,0.0,300.0,15.444877062234454,True,up
ALDOA,14.729723195208205,6.677341032068467,8.052382163139738,227.27104710687112,0.0,0.0,300.0,14.20578246734275,True,up
TPD52,11.230961782729045,3.1898389019736277,8.041122880755417,177.51081090710906,0.0,0.0,300.0,10.97366232313211,True,up
TMEM106B,11.04423913763548,3.011680809354553,8.032558328280926,219.4277431303754,0.0,0.0,300.0,13.862222767893988,True,up
SEZ6L2,10.469426677821637,2.449032178848906,8.020394498972731,100.13390251222192,0.0,0.0,300.0,6.20385930644801,True,up
GOLM1,12.42606979591968,4.434041059887054,7.992028736032626,170.65903049415667,0.0,0.0,300.0,10.677409622249767,True,up
WASH7P,10.133701128830623,2.150223039846761,7.983478088983862,196.4736042927855,0.0,0.0,300.0,12.233215255223595,True,up
