Gene_set,pathway,overlap,pvalue,padj,Old P-value,Old Adjusted P-value,odds_ratio,combined_score,genes,overlap_genes,pathway_size,neg_log10_padj,subset
KEGG_2021_Human,ECM-receptor interaction,8/88,2.715147972678231e-06,0.0004235630837378041,0,0,10.325130890052357,132.33373444924925,COMP;LAMC3;ITGA2;LAMA3;ITGA11;CD36;HMMR;THBS2,8,88,3.3730818984880964,Upregulated
KEGG_2021_Human,Cytokine-cytokine receptor interaction,12/295,4.200443170668959e-05,0.0021842304487478,0,0,4.425766708867935,44.60170595988669,CCL14;NGFR;CCL13;BMP3;CXCL10;CXCL6;TNFRSF6B;GDF15;TNFRSF11B;INHBB;CX3CL1;BMP6,12,295,2.6607015430095613,Upregulated
KEGG_2021_Human,Cell cycle,7/124,0.0002450264604498591,0.0076448255660356,0,0,6.133725071225071,50.99667565405952,CDC20;CDC45;BUB1B;TTK;CDC6;PKMYT1;BUB1,7,124,2.1166324195482544,Upregulated
KEGG_2021_Human,PI3K-Akt signaling pathway,10/354,0.0029725950250238,0.0422942187192998,0,0,2.992647963578196,17.412183385312403,COMP;NGFR;LAMC3;CREB3L1;ITGA2;KIT;ITGA11;LAMA3;THBS2;EPHA2,10,354,1.373718993142694,Upregulated
KEGG_2021_Human,Focal adhesion,7/201,0.0040668406169128,0.0488020874029547,0,0,3.684734750859106,20.284055216379265,COMP;LAMC3;ITGA2;ITGA11;LAMA3;FLNC;THBS2,7,201,1.3115616015998168,Upregulated
KEGG_2021_Human,TNF signaling pathway,4/112,0.0257113515350235,0.1823168563392581,0,0,3.740360873694207,13.692797957561565,CXCL10;CXCL6;CREB3L1;CX3CL1,4,112,0.7391731762342393,Upregulated
KEGG_2021_Human,Chemokine signaling pathway,5/192,0.0432515891683562,0.228938233975827,0,0,2.70329125089586,8.490284418556614,CCL14;CXCL10;CXCL6;CCL13;CX3CL1,5,192,0.6402816716413257,Upregulated
KEGG_2021_Human,Small cell lung cancer,3/92,0.0640824138814516,0.3124017676720765,0,0,3.390048154093098,9.314446498619215,LAMC3;ITGA2;LAMA3,3,92,0.5052865174065916,Upregulated
KEGG_2021_Human,IL-17 signaling pathway,3/94,0.0674437248747778,0.3188248812262226,0,0,3.315205202960305,8.939323971427326,CXCL6;CXCL10;FOSB,3,94,0.4964477934315189,Upregulated
KEGG_2021_Human,Ras signaling pathway,5/232,0.0825746652408146,0.3578235493768635,0,0,2.222398837367728,5.5427790690099625,NGFR;KIT;PLA2G10;PLA2G3;EPHA2,5,232,0.44633108068348415,Upregulated
KEGG_2021_Human,MAPK signaling pathway,4/294,0.335805086657708,0.7578592325890872,0,0,1.3800884173297967,1.5059861366194234,NGFR;KIT;FLNC;EPHA2,4,294,0.1204114542453977,Upregulated
KEGG_2021_Human,Regulation of actin cytoskeleton,3/218,0.3694482502828101,0.7730351903155984,0,0,1.3943521594684385,1.388418635748787,ITGA2;ITGA11;MYH11,3,218,0.1118007355616,Upregulated
KEGG_2021_Human,Pathways in cancer,4/531,0.7777711055655911,0.8728941904189368,0,0,0.7502165134043692,0.1885466699569859,LAMC3;ITGA2;KIT;LAMA3,4,531,0.059038396961312245,Upregulated
