feature,rank,random_forest (MDI),gradient_boosting (MDI),extra_trees (MDI),logistic_regression (|coef|),xgboost (MDI),xgboost (permutation),mean_importance,std_importance,feature_group
tumor_std,1,0.9999999999941761,0.9999999999953236,0.9999999999921106,0.03733859515380272,1.0,0.9999999999839861,0.8395564325198999,0.39300487282119173,Tumor Expression Stats
normal_std,2,0.659212581919584,0.6651671500308547,0.806508350189393,0.047186813054840286,0.26267987,0.5714827307896152,0.502039583480215,0.2874096894238178,Normal Expression Stats
tumor_iqr,3,0.8102205485842752,0.6739583019352892,0.7087478293294649,0.03759013967124707,0.2283209,0.029444644262729944,0.41471372673475426,0.35650699918338313,Tumor Expression Stats
neg_log10_padj,4,0.1699448026769955,0.13429728617746212,0.625736725768417,0.9999999994299642,0.018110324,0.217495698492691,0.36093080604047634,0.37535836957764485,Differential Expression
tumor_cv,5,0.4656564561745579,0.46601265270960845,0.42531380797194146,0.033259002582941205,0.14673012,0.1606769643508396,0.28294150145671626,0.19131815445920308,Tumor Expression Stats
normal_iqr,6,0.42638974928475093,0.4511191049648224,0.507899744552231,0.044224107303397785,0.016044423,0.10290558077427389,0.25809711831059984,0.2264494798070194,Normal Expression Stats
cohens_d,7,0.27444020901228955,0.22928860654579178,0.4515462437018005,0.018978903621107466,0.07086389,0.14192532394713858,0.1978405290826306,0.1565018471871743,Differential Expression
normal_skewness,8,0.18351104911504235,0.1813333505966961,0.2552857019593463,0.018566917314523014,0.052158605,0.17024234234837235,0.14351632777355344,0.08966043323517847,Normal Expression Stats
tumor_mean,9,0.19660998904736982,0.14015337888687304,0.2070212429311525,0.005471517195663553,0.06171066,0.16181917158123557,0.12879765984280406,0.07955729585966767,Tumor Expression Stats
tumor_normal_mean_ratio,10,0.17322021371425125,0.12131572416166687,0.21459997227682523,0.012569743774331208,0.033933427,0.09347629555312838,0.10818589611083719,0.07822794965338306,Contrast Features
normal_specific_degree,11,0.12510970618192035,0.14989540644038718,0.2038609189541761,0.01276143176421467,0.08437942,0.0026635300521570177,0.0964450688462109,0.0789433631162032,Other
delta_degree,12,0.13742090173247978,0.08027734368496679,0.1826871402637278,0.013406306282514538,0.02436007,0.027519903568104624,0.07761194425614214,0.0694152017409728,Other
normal_degree,13,0.08906095299155076,0.053179855931227135,0.18976487355618063,0.012278061160150787,0.03416571,0.017458759028016343,0.06598470214632098,0.06673773589694133,Other
normal_mean,14,0.1412224004875713,0.030072628030223415,0.17749051599680304,0.0022576100358856306,0.024796262,0.0,0.06263990282232407,0.07671821100970735,Normal Expression Stats
delta_mean_edge_weight,15,0.0635926260107915,0.0304828388425475,0.1091843559431539,0.004262876968365558,0.0,0.0025760418387655716,0.035016456600604005,0.043731782136110196,Other
degree,16,0.0022032115421815623,0.011547664906145748,0.055451588522937814,0.06340218634456243,0.03520611,0.017099085261848702,0.030818307643838475,0.024763517280445946,Network Topology
tumor_specific_degree,17,0.0,0.008046804210950867,0.021386231276405557,0.06757651621978673,0.061438195,0.025400744621496614,0.030641415289338392,0.027839465466353262,Other
avg_neighbor_degree,18,0.02778274385740435,0.016609526533143966,0.06054494758930206,0.012128379084273463,0.020762527,0.0,0.022971354070939337,0.02061809584334743,Network Topology
eigenvector_centrality,19,0.010924139202219494,0.012828665060136633,0.0,0.0,0.062669836,0.04235401619436052,0.021462776073570587,0.025461256661726064,Network Topology
tumor_clustering,20,0.00308395313421658,0.0,0.04228742258027581,0.002743061648498818,0.039396185,0.021629030533038406,0.018189942220655623,0.019182761337974794,Other
