gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
SLCO4A1,0.9945333333333348,1,100.0,1,1,True,0.3189633975088641,0.0007713366108769,3.1127560547070963,ns,False,6.761752106538771,6.442788709029907,False,False,False
ID1,0.993933333333334,2,99.99,1,1,True,1.8006931974328024,3.376577426946562e-93,92.47152328719656,ns,False,9.660380200395783,7.859687002962981,False,False,False
CLDN18,0.9926666666666676,3,99.98,1,1,True,0.313525035068916,0.0617967389558177,1.209034442239034,ns,False,7.447739850563017,7.134214815494101,False,False,False
PLA2G2A,0.992300000000001,4,99.97,1,1,True,-0.7434637774433233,5.064153458330957e-08,7.295493142426613,ns,False,4.857883132601658,5.601346910044981,False,False,False
CXCL2,0.9919666666666672,5,99.96,1,1,True,1.7081495241481166,5.439945292744885e-65,64.26440546779787,ns,False,8.54263999135631,6.834490467208194,False,False,False
MT1G,0.9919000000000012,6,99.95,1,1,True,0.6670197995433735,3.3291842160882087e-10,9.477662173056885,ns,False,5.465519191670396,4.798499392127022,False,False,False
TCF21,0.9908000000000012,7,99.95,1,1,True,0.4707267336465728,2.421843337921869e-09,8.615853953544983,ns,False,6.929883767101526,6.459157033454953,False,False,False
RRAD,0.9903666666666676,8,99.94,1,1,True,1.607406314250377,7.50369591685075e-58,57.12472477381737,ns,False,8.20970158427003,6.6022952700196536,False,False,False
S100P,0.9903333333333342,9,99.93,1,1,True,3.645425642668472,1.0972104167387956e-86,85.95971007792615,up,True,9.80912666879371,6.163701026125238,False,False,False
SAA1,0.9903000000000018,10,99.92,1,1,True,1.7377655838953254,6.762448525446896e-32,31.169896027645,ns,False,6.371183173117336,4.63341758922201,False,False,False
LTF,0.9903000000000012,11,99.91,1,1,True,4.84186764830555,1.6477196536115121e-164,163.78311667810408,up,True,9.40530107664959,4.563433428344039,False,False,False
AREG,0.9897666666666676,12,99.9,1,1,True,2.470122303973004,1.694909383947693e-81,80.77085351581103,up,True,8.213282479477618,5.743160175504614,False,False,False
TFPI2,0.989700000000001,13,99.89,1,1,True,5.535017318645317,1.0728545767029629e-168,167.9694591417951,up,True,8.622359023787334,3.087341705142017,False,False,False
CCL21,0.989666666666668,14,99.88,1,1,True,1.3186447363398166,1.693952276914771e-42,41.7710988290493,ns,False,9.1892388668642,7.870594130524383,False,False,False
GPC3,0.9894666666666688,15,99.87,1,1,True,0.4188849748506422,1.0928705321483347e-06,5.961431284074021,ns,False,7.915598667584164,7.496713692733522,False,False,False
