gene,predicted_prob,predicted_label,rank,percentile,novel_candidate,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,node_color,node_size
A2M,0.4391999999999998,1,2283,79.23,False,False,2.3810886461783785,6.626025651174101e-199,198.178746887177,up,True,14.109524642519071,11.728435996340696,176,119.93275582790376,0.0008684143823154,0.1210640785540553,0.0051275304568384,0.2330364104502542,1,0.6814361214637756,#F0882A,24.763999999999992
ABCA6,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,188,123.84627199172974,0.0003922871245797,0.1168167336127022,0.0213019397194222,0.3053840142549842,1,0.6587567329406738,#CCCCCC,5.0
ABCA9,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,45,28.9976669549942,3.984652226845273e-05,0.1132705606220969,0.0036145537006183,0.4092377541216724,1,0.6443925499916077,#CCCCCC,5.0
ABI3BP,0.8642666666666672,1,478,95.66,False,True,2.301389832467226,1.2408515018410534e-124,123.90628018932308,up,True,8.295839390499886,5.99444955803266,153,100.44930118322372,0.0006030791350927,0.118659724831612,0.0197563570497093,0.3366907345210085,1,0.6565313935279846,#E8524A,43.892000000000024
ACVRL1,0.216,0,3449,68.61,False,False,2.076606328550381,2.1825021255647152e-246,245.66104532465764,up,True,9.194133348910135,7.117527020359754,120,80.78518408536911,0.0001573171641745,0.1084047666998273,0.0062410840509123,0.2835646286457527,1,0.6732098460197449,#F0882A,14.72
ADAMTSL2,0.5963333333333342,1,1593,85.51,False,False,2.8506219673084487,5.3380308869904e-232,231.27261891762032,up,True,8.276046124815691,5.425424157507242,46,30.27658861875534,2.386417226621109e-05,0.1090954000257875,0.0002200227026349,0.4643631457033638,1,0.6581867337226868,#F0882A,31.835000000000036
ADAMTSL3,0.5151333333333334,1,1933,82.41,False,False,2.2784009875481344,1.7973959753966927e-136,135.74535623508612,up,True,6.298689877721526,4.020288890173392,35,22.12030565738678,5.201981511287568e-06,0.1040412895982068,0.0001880181105481,0.5529765022462365,1,0.6320087313652039,#F0882A,28.181000000000004
ADARB1,0.0381666666666665,0,5687,48.24,False,False,3.1930723641783523,0.0,300.0,up,True,8.602194230576737,5.409121866398385,42,26.68928754329681,0.0001674365285288,0.1140180210720733,0.0005029556069467,0.4569765198347394,1,0.6354592442512512,#F0882A,6.717499999999992
ANGPT1,0.7384000000000006,1,1021,90.72,False,True,2.3359055172422467,4.8126134238804e-142,141.31761902189177,up,True,7.229257899993216,4.89335238275097,36,23.110862612724304,1.0278008629633512e-06,0.1069777516986471,0.0004275137794707,0.5166138425714024,1,0.6419684290885925,#E8524A,38.22800000000003
AOC3,0.0,0,9796,5.43,False,False,0.0,,,ns,False,,,182,124.36328619718552,0.0003157512583554,0.1178938488107539,0.0030550309167656,0.2532884531139244,1,0.6833147406578064,#CCCCCC,5.0
