gene_a,gene_b,correlation
A2M,ABCA6,0.7525840997695923
A2M,ABCA9,0.7014554142951965
A2M,ABI3BP,0.7354256510734558
A2M,ACVRL1,0.6734510064125061
A2M,ADAMTSL2,0.629518985748291
A2M,ADAMTSL3,0.6746248006820679
A2M,ADARB1,0.621451735496521
A2M,ANGPT1,0.7089688777923584
A2M,AOC3,0.8598543405532837
A2M,ARHGAP31,0.6815726161003113
A2M,ARHGAP6,0.7517231106758118
A2M,ARHGEF15,0.7272656559944153
A2M,ARHGEF6,0.6566730737686157
A2M,ATP1B2,0.6843542456626892
A2M,BHLHE22,0.6135531067848206
A2M,C14ORF132,0.611443281173706
A2M,C1QTNF7,0.7791191935539246
A2M,C7,0.7857430577278137
A2M,CACNA1C,0.7491183876991272
A2M,CALCRL,0.6686019897460938
A2M,CASS4,0.796008288860321
A2M,CBX7,0.603295087814331
A2M,CD34,0.7122704386711121
A2M,CD4,0.6057008504867554
A2M,CD93,0.7190883755683899
A2M,CDH5,0.7147082090377808
A2M,CLEC14A,0.7173806428909302
A2M,CNRIP1,0.6788427233695984
A2M,COL14A1,0.7025445103645325
A2M,COLEC12,0.6138485670089722
A2M,CORO2B,0.6641489267349243
A2M,CYGB,0.6128579378128052
A2M,CYYR1,0.7362255454063416
A2M,DCN,0.6266970038414001
A2M,DES,0.6517176628112793
A2M,DLC1,0.6000465750694275
A2M,ECM2,0.6772207021713257
A2M,EDNRB,0.6656463146209717
A2M,ELN,0.680639386177063
A2M,EMCN,0.6802069544792175
A2M,ENG,0.6080793738365173
A2M,EPB41L2,0.6314355731010437
A2M,ERG,0.783185601234436
A2M,ETS1,0.6118510365486145
A2M,FAM107A,0.6856127977371216
A2M,FAM13C,0.7602888941764832
A2M,FAM162B,0.6127845644950867
A2M,FAT4,0.7238413095474243
A2M,FBLN5,0.6620808839797974
A2M,FEZ1,0.6529777646064758
A2M,FGD5,0.71187424659729
A2M,FGF14,0.6390692591667175
A2M,FHL1,0.7823466062545776
A2M,FHL5,0.7159106731414795
A2M,FLI1,0.7558987736701965
A2M,FMO2,0.7462760210037231
A2M,FOXF1,0.7292873859405518
A2M,FOXF2,0.6133584976196289
A2M,FRZB,0.6330540180206299
A2M,FXYD6,0.6258704662322998
A2M,GAS7,0.7333143353462219
A2M,GGTA1,0.6095577478408813
A2M,GHR,0.6518217921257019
A2M,GIMAP6,0.6457187533378601
A2M,GIMAP8,0.7217850685119629
A2M,GNG2,0.6574166417121887
A2M,GPIHBP1,0.6600227952003479
A2M,GUCY1A2,0.6438916921615601
A2M,GYPC,0.6206699013710022
A2M,HEG1,0.6189862489700317
A2M,HGF,0.6753377914428711
A2M,HMCN1,0.7567110657691956
