gene_a	gene_b	weight	abs_weight	edge_type
A2M	ABCA6	0.752584	0.752584	positive
A2M	ABCA9	0.701455	0.701455	positive
A2M	ABI3BP	0.735426	0.735426	positive
A2M	ACVRL1	0.673451	0.673451	positive
A2M	ADAMTSL2	0.629519	0.629519	positive
A2M	ADAMTSL3	0.674625	0.674625	positive
A2M	ADARB1	0.621452	0.621452	positive
A2M	ANGPT1	0.708969	0.708969	positive
A2M	AOC3	0.859854	0.859854	positive
A2M	ARHGAP31	0.681573	0.681573	positive
A2M	ARHGAP6	0.751723	0.751723	positive
A2M	ARHGEF15	0.727266	0.727266	positive
A2M	ARHGEF6	0.656673	0.656673	positive
A2M	ATP1B2	0.684354	0.684354	positive
A2M	BHLHE22	0.613553	0.613553	positive
A2M	C14ORF132	0.611443	0.611443	positive
A2M	C1QTNF7	0.779119	0.779119	positive
A2M	C7	0.785743	0.785743	positive
A2M	CACNA1C	0.749118	0.749118	positive
A2M	CALCRL	0.668602	0.668602	positive
A2M	CASS4	0.796008	0.796008	positive
A2M	CBX7	0.603295	0.603295	positive
A2M	CD34	0.71227	0.71227	positive
A2M	CD4	0.605701	0.605701	positive
A2M	CD93	0.719088	0.719088	positive
A2M	CDH5	0.714708	0.714708	positive
A2M	CLEC14A	0.717381	0.717381	positive
A2M	CNRIP1	0.678843	0.678843	positive
A2M	COL14A1	0.702545	0.702545	positive
A2M	COLEC12	0.613849	0.613849	positive
A2M	CORO2B	0.664149	0.664149	positive
A2M	CYGB	0.612858	0.612858	positive
A2M	CYYR1	0.736226	0.736226	positive
A2M	DCN	0.626697	0.626697	positive
A2M	DES	0.651718	0.651718	positive
A2M	DLC1	0.600047	0.600047	positive
A2M	ECM2	0.677221	0.677221	positive
A2M	EDNRB	0.665646	0.665646	positive
A2M	ELN	0.680639	0.680639	positive
A2M	EMCN	0.680207	0.680207	positive
A2M	ENG	0.608079	0.608079	positive
A2M	EPB41L2	0.631436	0.631436	positive
A2M	ERG	0.783186	0.783186	positive
A2M	ETS1	0.611851	0.611851	positive
A2M	FAM107A	0.685613	0.685613	positive
A2M	FAM13C	0.760289	0.760289	positive
A2M	FAM162B	0.612785	0.612785	positive
A2M	FAT4	0.723841	0.723841	positive
A2M	FBLN5	0.662081	0.662081	positive
A2M	FEZ1	0.652978	0.652978	positive
A2M	FGD5	0.711874	0.711874	positive
A2M	FGF14	0.639069	0.639069	positive
A2M	FHL1	0.782347	0.782347	positive
A2M	FHL5	0.715911	0.715911	positive
A2M	FLI1	0.755899	0.755899	positive
A2M	FMO2	0.746276	0.746276	positive
A2M	FOXF1	0.729287	0.729287	positive
A2M	FOXF2	0.613358	0.613358	positive
A2M	FRZB	0.633054	0.633054	positive
A2M	FXYD6	0.62587	0.62587	positive
A2M	GAS7	0.733314	0.733314	positive
A2M	GGTA1	0.609558	0.609558	positive
A2M	GHR	0.651822	0.651822	positive
A2M	GIMAP6	0.645719	0.645719	positive
A2M	GIMAP8	0.721785	0.721785	positive
A2M	GNG2	0.657417	0.657417	positive
A2M	GPIHBP1	0.660023	0.660023	positive
A2M	GUCY1A2	0.643892	0.643892	positive
A2M	GYPC	0.62067	0.62067	positive
A2M	HEG1	0.618986	0.618986	positive
A2M	HGF	0.675338	0.675338	positive
A2M	HMCN1	0.756711	0.756711	positive
A2M	HSPA12B	0.627531	0.627531	positive
A2M	HSPB6	0.620837	0.620837	positive
A2M	HSPB7	0.608989	0.608989	positive
A2M	IL16	0.626305	0.626305	positive
A2M	IL33	0.631741	0.631741	positive
A2M	INMT	0.786668	0.786668	positive
A2M	ITIH5	0.728233	0.728233	positive
A2M	JAM2	0.764103	0.764103	positive
A2M	LAMA2	0.816423	0.816423	positive
A2M	LBH	0.62814	0.62814	positive
A2M	LDB2	0.764418	0.764418	positive
A2M	LIMS2	0.620256	0.620256	positive
A2M	LINC01140	0.632644	0.632644	positive
A2M	LMOD1	0.711318	0.711318	positive
A2M	LRRC32	0.617077	0.617077	positive
A2M	LSAMP	0.717475	0.717475	positive
A2M	LTBP2	0.736301	0.736301	positive
A2M	MAN1C1	0.603334	0.603334	positive
A2M	MAP3K3	0.609144	0.609144	positive
A2M	MEOX2	0.723004	0.723004	positive
A2M	MFAP4	0.841264	0.841264	positive
A2M	MGP	0.691038	0.691038	positive
A2M	MMRN1	0.705307	0.705307	positive
A2M	MMRN2	0.67638	0.67638	positive
A2M	MOXD1	0.640917	0.640917	positive
A2M	MPEG1	0.602125	0.602125	positive
A2M	MSRB3	0.64473	0.64473	positive
A2M	MYCT1	0.684299	0.684299	positive
A2M	MYH11	0.730272	0.730272	positive
A2M	MYLK	0.665005	0.665005	positive
A2M	NFASC	0.64127	0.64127	positive
A2M	NXPH3	0.642485	0.642485	positive
A2M	OLFML1	0.739699	0.739699	positive
A2M	PCDH17	0.640596	0.640596	positive
A2M	PCDHGB7	0.66377	0.66377	positive
A2M	PDE5A	0.665664	0.665664	positive
A2M	PDGFRB	0.611102	0.611102	positive
A2M	PDZRN3	0.613296	0.613296	positive
A2M	PEAK1	0.702537	0.702537	positive
A2M	PEAR1	0.661982	0.661982	positive
A2M	PECAM1	0.642265	0.642265	positive
A2M	PGR	0.724067	0.724067	positive
A2M	PIK3R1	0.625052	0.625052	positive
A2M	PKNOX2	0.803568	0.803568	positive
A2M	PODN	0.678136	0.678136	positive
A2M	PRDM6	0.638161	0.638161	positive
A2M	PRELP	0.65592	0.65592	positive
A2M	PREX1	0.601118	0.601118	positive
A2M	PRG4	0.680643	0.680643	positive
A2M	PRKCB	0.618641	0.618641	positive
A2M	PRKG1	0.675088	0.675088	positive
A2M	PTGDS	0.662391	0.662391	positive
A2M	PTGER4	0.658122	0.658122	positive
A2M	PTGIR	0.707561	0.707561	positive
A2M	PTH1R	0.639002	0.639002	positive
A2M	PTPRB	0.653127	0.653127	positive
A2M	RAI2	0.724733	0.724733	positive
A2M	RASGRP4	0.613467	0.613467	positive
A2M	RASL12	0.684017	0.684017	positive
A2M	RASSF2	0.688623	0.688623	positive
A2M	RCSD1	0.640999	0.640999	positive
A2M	REM1	0.679912	0.679912	positive
A2M	RGS5	0.642851	0.642851	positive
A2M	RHOJ	0.78177	0.78177	positive
A2M	ROBO4	0.662086	0.662086	positive
A2M	RYR2	0.608224	0.608224	positive
A2M	S1PR1	0.745036	0.745036	positive
A2M	SCN4B	0.722642	0.722642	positive
A2M	SELP	0.717472	0.717472	positive
A2M	SGCD	0.609844	0.609844	positive
A2M	SH2D3C	0.67775	0.67775	positive
A2M	SHROOM4	0.613727	0.613727	positive
A2M	SLIT2	0.726183	0.726183	positive
A2M	SLIT3	0.813502	0.813502	positive
A2M	SNRK	0.671307	0.671307	positive
A2M	SPARCL1	0.85477	0.85477	positive
A2M	SPON1	0.699245	0.699245	positive
A2M	SSC5D	0.628116	0.628116	positive
A2M	STARD8	0.703462	0.703462	positive
A2M	SULT1C4	0.693531	0.693531	positive
A2M	SVEP1	0.773174	0.773174	positive
A2M	SYNE1	0.617408	0.617408	positive
A2M	SYNPO	0.644997	0.644997	positive
A2M	SYNPO2	0.710778	0.710778	positive
A2M	TACC1	0.624572	0.624572	positive
A2M	TAL1	0.6895	0.6895	positive
A2M	TBX2	0.69061	0.69061	positive
A2M	TBX4	0.748535	0.748535	positive
A2M	TBX5	0.76403	0.76403	positive
A2M	TCF4	0.665975	0.665975	positive
A2M	TEK	0.740068	0.740068	positive
A2M	TGFBR2	0.644448	0.644448	positive
A2M	TGFBR3	0.650221	0.650221	positive
A2M	THSD1	0.656544	0.656544	positive
A2M	TIE1	0.633384	0.633384	positive
A2M	TMEM119	0.66596	0.66596	positive
A2M	TNS1	0.680294	0.680294	positive
A2M	TNXB	0.705881	0.705881	positive
A2M	VWF	0.753172	0.753172	positive
A2M	ZCCHC24	0.714971	0.714971	positive
A2M	ZEB1	0.66391	0.66391	positive
A2M	ZEB2	0.714143	0.714143	positive
A2M	ZNF423	0.660133	0.660133	positive
A2M	ZNF521	0.61032	0.61032	positive
ABCA6	ABCA9	0.797083	0.797083	positive
ABCA6	ABI3BP	0.735837	0.735837	positive
ABCA6	ANGPT1	0.612557	0.612557	positive
ABCA6	ANKRD44	0.672158	0.672158	positive
ABCA6	AOC3	0.731813	0.731813	positive
ABCA6	ARHGAP15	0.626344	0.626344	positive
ABCA6	ARHGAP25	0.632342	0.632342	positive
ABCA6	ARHGAP30	0.635061	0.635061	positive
ABCA6	ARHGAP31	0.660422	0.660422	positive
ABCA6	ARHGAP6	0.62563	0.62563	positive
ABCA6	ARHGEF6	0.759116	0.759116	positive
ABCA6	BHLHE22	0.672294	0.672294	positive
ABCA6	BNC2	0.611931	0.611931	positive
ABCA6	BTK	0.679956	0.679956	positive
ABCA6	C1QTNF7	0.708262	0.708262	positive
ABCA6	C7	0.671009	0.671009	positive
ABCA6	CACNA1C	0.677412	0.677412	positive
ABCA6	CALCRL	0.604087	0.604087	positive
ABCA6	CASS4	0.786797	0.786797	positive
ABCA6	CCR2	0.68523	0.68523	positive
ABCA6	CCR6	0.660501	0.660501	positive
ABCA6	CD180	0.604929	0.604929	positive
ABCA6	CD200R1	0.644104	0.644104	positive
ABCA6	CD22	0.605895	0.605895	positive
ABCA6	CD28	0.691514	0.691514	positive
ABCA6	CD37	0.645733	0.645733	positive
ABCA6	CD4	0.702495	0.702495	positive
ABCA6	CD53	0.610382	0.610382	positive
ABCA6	CD84	0.648529	0.648529	positive
ABCA6	CD93	0.610049	0.610049	positive
ABCA6	CLEC10A	0.619156	0.619156	positive
ABCA6	CMKLR1	0.631548	0.631548	positive
ABCA6	CNRIP1	0.710176	0.710176	positive
ABCA6	COL14A1	0.600265	0.600265	positive
ABCA6	COLEC12	0.650327	0.650327	positive
ABCA6	CR1	0.662174	0.662174	positive
ABCA6	CSF2RB	0.687938	0.687938	positive
ABCA6	CXCL12	0.655967	0.655967	positive
ABCA6	CYBB	0.616589	0.616589	positive
ABCA6	CYYR1	0.606838	0.606838	positive
ABCA6	DAB2	0.633387	0.633387	positive
ABCA6	DCN	0.738754	0.738754	positive
ABCA6	DDR2	0.624943	0.624943	positive
ABCA6	DOCK10	0.602024	0.602024	positive
ABCA6	DOCK2	0.688242	0.688242	positive
ABCA6	DOCK8	0.619912	0.619912	positive
ABCA6	DPEP2	0.643787	0.643787	positive
ABCA6	ECM2	0.685444	0.685444	positive
ABCA6	ENTPD1	0.612542	0.612542	positive
ABCA6	EPB41L2	0.671618	0.671618	positive
ABCA6	ERG	0.640034	0.640034	positive
ABCA6	ETS1	0.633924	0.633924	positive
ABCA6	EVI2A	0.633529	0.633529	positive
ABCA6	EVI2B	0.688038	0.688038	positive
ABCA6	F13A1	0.647516	0.647516	positive
ABCA6	FAM13C	0.63054	0.63054	positive
ABCA6	FAT4	0.668716	0.668716	positive
ABCA6	FEZ1	0.633066	0.633066	positive
ABCA6	FGD2	0.644249	0.644249	positive
ABCA6	FGD5	0.647204	0.647204	positive
ABCA6	FGF7	0.627318	0.627318	positive
ABCA6	FGL2	0.64289	0.64289	positive
ABCA6	FHL1	0.67882	0.67882	positive
ABCA6	FLI1	0.723529	0.723529	positive
ABCA6	FMNL3	0.619261	0.619261	positive
ABCA6	FMO2	0.75891	0.75891	positive
ABCA6	FOLR2	0.634854	0.634854	positive
ABCA6	GAB3	0.636113	0.636113	positive
ABCA6	GAPT	0.637671	0.637671	positive
ABCA6	GAS7	0.804725	0.804725	positive
ABCA6	GGTA1	0.683031	0.683031	positive
ABCA6	GHR	0.618291	0.618291	positive
ABCA6	GIMAP4	0.626891	0.626891	positive
ABCA6	GIMAP6	0.685878	0.685878	positive
ABCA6	GIMAP7	0.637634	0.637634	positive
ABCA6	GIMAP8	0.672775	0.672775	positive
ABCA6	GNG2	0.706362	0.706362	positive
ABCA6	GPR34	0.613792	0.613792	positive
ABCA6	GPR65	0.602685	0.602685	positive
ABCA6	GYPC	0.645864	0.645864	positive
ABCA6	HGF	0.631604	0.631604	positive
ABCA6	HMCN1	0.639511	0.639511	positive
ABCA6	IKZF1	0.685962	0.685962	positive
ABCA6	IL10RA	0.645639	0.645639	positive
ABCA6	IL16	0.740554	0.740554	positive
ABCA6	IL7R	0.719928	0.719928	positive
ABCA6	INMT	0.626819	0.626819	positive
ABCA6	IRF8	0.693764	0.693764	positive
ABCA6	ITGA4	0.64474	0.64474	positive
ABCA6	ITIH5	0.603762	0.603762	positive
ABCA6	ITK	0.612001	0.612001	positive
ABCA6	JAM2	0.667968	0.667968	positive
ABCA6	KLHL6	0.661619	0.661619	positive
ABCA6	LAMA2	0.777611	0.777611	positive
ABCA6	LDB2	0.650559	0.650559	positive
ABCA6	LINC01140	0.698583	0.698583	positive
ABCA6	LMOD1	0.653741	0.653741	positive
ABCA6	LSAMP	0.714672	0.714672	positive
ABCA6	LTBP2	0.678003	0.678003	positive
ABCA6	LUM	0.609592	0.609592	positive
ABCA6	MEOX2	0.672585	0.672585	positive
ABCA6	MFAP4	0.761719	0.761719	positive
ABCA6	MFNG	0.601282	0.601282	positive
ABCA6	MGP	0.600493	0.600493	positive
ABCA6	MNDA	0.620174	0.620174	positive
ABCA6	MOXD1	0.644404	0.644404	positive
ABCA6	MPEG1	0.685058	0.685058	positive
ABCA6	MRC1	0.652874	0.652874	positive
ABCA6	MS4A6A	0.602875	0.602875	positive
ABCA6	MS4A7	0.641812	0.641812	positive
ABCA6	MSRB3	0.651118	0.651118	positive
ABCA6	MYLK	0.700941	0.700941	positive
ABCA6	NCKAP1L	0.659352	0.659352	positive
ABCA6	NLRP3	0.631673	0.631673	positive
ABCA6	OLFML1	0.770246	0.770246	positive
ABCA6	P2RX7	0.603821	0.603821	positive
ABCA6	P2RY10	0.604209	0.604209	positive
ABCA6	P2RY13	0.637364	0.637364	positive
ABCA6	P2RY14	0.657528	0.657528	positive
