gene	predicted_prob	predicted_label	rank	percentile	novel_candidate	is_cgc_gene	log2fc	pvalue_adj	neg_log10_padj	direction	is_de_significant	mean_tumor	mean_normal	degree	weighted_degree	betweenness_centrality	closeness_centrality	eigenvector_centrality	clustering_coefficient	in_largest_component	mean_edge_weight	node_color	node_size
A2M	0.7693375958036132	1	302	97.26	True	False	2.3810886461783785	6.62602565117417e-199	198.178746887177	up	True	14.109524642519071	11.728435996340696	64	47.686746537685394	0.0071441019413028	0.0356001181329874	0.0011981886077613	0.1929647800708316	1	0.7451054453849792	#3A7DBF	39.62019181116259
ABCA6	0.5287514249394176	0	3383	69.22	True	False	1.817098172932476	2.024413754196495e-96	95.69370072068584	up	True	6.107513185023501	4.290415012091025	28	20.638377845287323	6.513165482335267e-05	0.0327301841570758	0.0028833369092855	0.3133973484217152	1	0.7370848655700684	#3A7DBF	28.793814122273798
ABCA9	0.2908338333110359	0	8701	20.81	False	False	1.047802484812614	2.223405841921876e-43	42.65298125757984	up	True	5.103961654997944	4.05615917018533	3	2.1995275616645813	0.0	0.0309205470892168	0.0001415228365387	0.7572367236135108	1	0.7331758141517639	#F0882A	18.087522498996616
ABI3BP	0.7282720930697831	1	558	94.93	True	False	2.301389832467226	1.240851501841121e-124	123.90628018932306	up	True	8.295839390499886	5.99444955803266	26	18.967497646808624	0.0001931038067654	0.0324478133987999	0.0049229644258483	0.3334175870788498	1	0.7295191884040833	#3A7DBF	37.77224418814024
ANGPT1	0.3879639792867624	0	6553	40.36	False	False	2.3359055172422467	4.812613423880445e-142	141.31761902189177	up	True	7.229257899993216	4.89335238275097	5	3.561992585659027	0.0	0.0298473476698824	1.2636846583925173e-05	0.7550636121485016	1	0.7123984694480896	#F0882A	22.458379067904307
AOC3	0.6508829632118115	1	1356	87.67	True	False	1.564959531097708	1.8277162975658247e-100	99.7380912155845	up	True	9.895137450830443	8.330177919732737	62	46.65816378593445	0.0001100846384552	0.0316818972258207	0.0002991732490444	0.2325654133622116	1	0.7525511384010315	#3A7DBF	34.28973334453151
ARHGAP6	0.2634657004871753	0	9260	15.72	False	False	1.6891968226347824	4.168454539786237e-142	141.3800249304576	up	True	5.861056969656195	4.1718601470214125	12	8.679681479930878	4.2004598197627393e-08	0.0304122565959251	4.845000563954211e-05	0.6413364955266757	1	0.7233067154884338	#F0882A	16.85595652192289
ARHGEF15	0.341469041361559	0	7587	30.95	False	False	2.096717758638002	2.0738894763914965e-194	193.6832143921477	up	True	7.408045624322086	5.311327865684084	52	40.54711538553238	0.0005417480993403	0.0314779302612472	0.0002965101690599	0.3308611106258114	1	0.7797521948814392	#F0882A	20.366106861270158
C1QTNF7	0.389894327190862	0	6493	40.91	False	False	2.271613099155545	7.818245378233096e-106	105.10689070321304	up	True	5.320855815434314	3.0492427162787683	31	23.418040692806244	2.870082334857133e-05	0.0309569044618796	4.75428209214226e-05	0.2953286080981095	1	0.7554206848144531	#F0882A	22.545244723588787
C7	0.851514048674548	1	63	99.44	True	False	1.5710091749740922	8.494714474108436e-43	42.07085121413491	up	True	9.644423376006596	8.073414201032504	17	12.60345584154129	1.7672317010350553e-05	0.0306354758083191	7.011829847776e-05	0.3584764180448114	1	0.7413797378540039	#3A7DBF	43.31813219035466
