gene_a	gene_b	weight	abs_weight	edge_type
TPX2	ANLN	0.87709	0.87709	positive
TPX2	ASPM	0.900745	0.900745	positive
TPX2	AURKB	0.876519	0.876519	positive
TPX2	BIRC5	0.88127	0.88127	positive
TPX2	CCNB1	0.856969	0.856969	positive
TPX2	CDC20	0.913873	0.913873	positive
TPX2	CDC45	0.862406	0.862406	positive
TPX2	CDC6	0.881924	0.881924	positive
TPX2	CDCA5	0.93628	0.93628	positive
TPX2	CDK1	0.856464	0.856464	positive
TPX2	CENPF	0.878243	0.878243	positive
TPX2	CEP55	0.916246	0.916246	positive
TPX2	DLGAP5	0.926615	0.926615	positive
TPX2	EXO1	0.901299	0.901299	positive
TPX2	FOXM1	0.915031	0.915031	positive
TPX2	KIF18B	0.907716	0.907716	positive
TPX2	KIF20A	0.888357	0.888357	positive
TPX2	KIF2C	0.939432	0.939432	positive
TPX2	KIF4A	0.942896	0.942896	positive
TPX2	MCM10	0.904446	0.904446	positive
TPX2	MELK	0.903228	0.903228	positive
TPX2	MKI67	0.87097	0.87097	positive
TPX2	MYBL2	0.905852	0.905852	positive
TPX2	NCAPG	0.921699	0.921699	positive
TPX2	NEK2	0.898685	0.898685	positive
TPX2	RRM2	0.883991	0.883991	positive
TPX2	TOP2A	0.908837	0.908837	positive
TPX2	C16ORF89	-0.706061	0.706061	negative
TPX2	PBK	0.79302	0.79302	positive
TPX2	TRIP13	0.813173	0.813173	positive
TPX2	TROAP	0.871602	0.871602	positive
TPX2	TTK	0.913776	0.913776	positive
TPX2	UBE2C	0.857858	0.857858	positive
CD163	C1QB	0.814166	0.814166	positive
CD163	CYBB	0.866348	0.866348	positive
CD163	VSIG4	0.87995	0.87995	positive
CD163	CCL18	0.71146	0.71146	positive
GBP5	CCL4	0.82876	0.82876	positive
GBP5	CXCL10	0.851288	0.851288	positive
GBP5	CXCL9	0.895202	0.895202	positive
CILP	COL3A1	0.701843	0.701843	positive
CILP	ADAM12	0.711546	0.711546	positive
CILP	COL1A1	0.704107	0.704107	positive
CILP	LRRC15	0.779074	0.779074	positive
MCM10	ANLN	0.841732	0.841732	positive
MCM10	ASPM	0.855674	0.855674	positive
MCM10	AURKB	0.853342	0.853342	positive
MCM10	BIRC5	0.859498	0.859498	positive
MCM10	CCNB1	0.840865	0.840865	positive
MCM10	CDC20	0.856568	0.856568	positive
MCM10	CDC45	0.864437	0.864437	positive
MCM10	CDC6	0.894516	0.894516	positive
MCM10	CDCA5	0.907268	0.907268	positive
MCM10	CDK1	0.858019	0.858019	positive
MCM10	CENPF	0.811251	0.811251	positive
MCM10	CEP55	0.885723	0.885723	positive
MCM10	DLGAP5	0.884796	0.884796	positive
MCM10	EXO1	0.909541	0.909541	positive
MCM10	FOXM1	0.852514	0.852514	positive
MCM10	KIF18B	0.86214	0.86214	positive
MCM10	KIF20A	0.834766	0.834766	positive
MCM10	KIF2C	0.889255	0.889255	positive
MCM10	KIF4A	0.894177	0.894177	positive
MCM10	MELK	0.901058	0.901058	positive
MCM10	MKI67	0.801425	0.801425	positive
MCM10	MYBL2	0.8581	0.8581	positive
MCM10	NCAPG	0.895931	0.895931	positive
MCM10	NEK2	0.87245	0.87245	positive
MCM10	PBK	0.805498	0.805498	positive
MCM10	RRM2	0.853047	0.853047	positive
MCM10	TOP2A	0.87911	0.87911	positive
MCM10	TRIP13	0.817718	0.817718	positive
MCM10	TROAP	0.827448	0.827448	positive
MCM10	TTK	0.892494	0.892494	positive
