gene_a	gene_b	weight	abs_weight	edge_type
ZNF521	GAS7	0.715316	0.715316	positive
ZNF521	ZEB1	0.740979	0.740979	positive
ZNF521	PDGFRA	0.720588	0.720588	positive
ZNF521	PDGFRB	0.759387	0.759387	positive
CREBBP	SPEN	0.738711	0.738711	positive
CXCR4	ITK	0.733556	0.733556	positive
LCP1	IL7R	0.724923	0.724923	positive
LCP1	BTK	0.812332	0.812332	positive
LCP1	CSF1R	0.794284	0.794284	positive
LCP1	IKZF1	0.80513	0.80513	positive
LCP1	IL21R	0.747235	0.747235	positive
LCP1	CD28	0.751086	0.751086	positive
LCP1	PDCD1LG2	0.748376	0.748376	positive
LCP1	PRKCB	0.725179	0.725179	positive
LCP1	PTPRC	0.839951	0.839951	positive
LCP1	SH2B3	0.740768	0.740768	positive
LCP1	SIRPA	0.79149	0.79149	positive
LCP1	WAS	0.783654	0.783654	positive
DICER1	TRIP11	0.7125	0.7125	positive
CD28	FLI1	0.747007	0.747007	positive
CD28	GAS7	0.705722	0.705722	positive
CD28	IL7R	0.795677	0.795677	positive
CD28	BTK	0.806112	0.806112	positive
CD28	CSF1R	0.722045	0.722045	positive
CD28	IKZF1	0.854105	0.854105	positive
CD28	IL21R	0.761478	0.761478	positive
CD28	PTPRC	0.877866	0.877866	positive
CD28	WAS	0.754563	0.754563	positive
CD28	PRKCB	0.751928	0.751928	positive
CD28	CCR7	0.752933	0.752933	positive
CD28	ITK	0.810722	0.810722	positive
CD28	LCK	0.706833	0.706833	positive
CD28	P2RY8	0.711645	0.711645	positive
CD274	PDCD1LG2	0.747279	0.747279	positive
CD79B	CCR7	0.737288	0.737288	positive
CD79B	CD79A	0.876428	0.876428	positive
CD79B	IRF4	0.761424	0.761424	positive
CD79B	LCK	0.707311	0.707311	positive
CD79B	P2RY8	0.784511	0.784511	positive
CD79B	POU2AF1	0.777615	0.777615	positive
CD79B	RHOH	0.703428	0.703428	positive
FANCI	ASPM	0.810039	0.810039	positive
FANCI	BLM	0.864743	0.864743	positive
FANCI	BRCA1	0.793653	0.793653	positive
FANCI	BUB1B	0.874709	0.874709	positive
FANCI	EZH2	0.711365	0.711365	positive
FANCI	FANCD2	0.762187	0.762187	positive
FANCI	FEN1	0.790068	0.790068	positive
FANCI	RAD51	0.82117	0.82117	positive
FANCI	STIL	0.775139	0.775139	positive
EZH2	ASPM	0.742294	0.742294	positive
EZH2	BUB1B	0.750784	0.750784	positive
EZH2	FEN1	0.732284	0.732284	positive
EZH2	STIL	0.730265	0.730265	positive
BRCA1	ASPM	0.80174	0.80174	positive
BRCA1	BLM	0.775515	0.775515	positive
BRCA1	BRCA2	0.742196	0.742196	positive
BRCA1	BUB1B	0.809295	0.809295	positive
BRCA1	FANCD2	0.710335	0.710335	positive
BRCA1	FEN1	0.778633	0.778633	positive
BRCA1	RAD51	0.723525	0.723525	positive
BRCA1	STIL	0.804361	0.804361	positive
BTK	FLI1	0.77282	0.77282	positive
BTK	GAS7	0.703376	0.703376	positive
BTK	IL7R	0.728262	0.728262	positive
BTK	CD74	0.762335	0.762335	positive
BTK	CIITA	0.742296	0.742296	positive
BTK	CSF1R	0.840566	0.840566	positive
BTK	FCGR2B	0.753465	0.753465	positive
BTK	IKZF1	0.856196	0.856196	positive
BTK	IL21R	0.76391	0.76391	positive
BTK	ITK	0.729638	0.729638	positive
BTK	PDCD1LG2	0.735215	0.735215	positive
BTK	PRKCB	0.773362	0.773362	positive
BTK	PTPRC	0.897208	0.897208	positive
