gene_a	gene_b	weight	abs_weight	edge_type
ASPM	CCNA2	0.839727	0.839727	positive
ASPM	MAD2L1	0.740391	0.740391	positive
ASPM	CCNB1	0.785149	0.785149	positive
ASPM	CCNB2	0.833905	0.833905	positive
ASPM	CDK1	0.789016	0.789016	positive
ASPM	CDKN3	0.789435	0.789435	positive
ASPM	NEK2	0.872822	0.872822	positive
ASPM	UBE2T	0.743123	0.743123	positive
ASPM	AURKB	0.799843	0.799843	positive
ASPM	BIRC5	0.789437	0.789437	positive
ASPM	CCNE1	0.640157	0.640157	positive
ASPM	CCNE2	0.674359	0.674359	positive
ASPM	CDCA5	0.863194	0.863194	positive
ASPM	CDCA8	0.835994	0.835994	positive
ASPM	CEP55	0.86417	0.86417	positive
ASPM	DEPDC1B	0.799363	0.799363	positive
ASPM	DNMT3B	0.605714	0.605714	positive
ASPM	E2F8	0.722855	0.722855	positive
ASPM	ESPL1	0.879588	0.879588	positive
ASPM	EXO1	0.882739	0.882739	positive
ASPM	EZH2	0.742294	0.742294	positive
ASPM	FOXM1	0.868608	0.868608	positive
ASPM	GTSE1	0.864729	0.864729	positive
ASPM	IQGAP3	0.825136	0.825136	positive
ASPM	KIF11	0.892619	0.892619	positive
ASPM	KIF23	0.888058	0.888058	positive
ASPM	KIFC1	0.857522	0.857522	positive
ASPM	MKI67	0.880355	0.880355	positive
ASPM	PBK	0.757285	0.757285	positive
ASPM	PLK1	0.856654	0.856654	positive
ASPM	RRM2	0.812619	0.812619	positive
ASPM	TK1	0.650837	0.650837	positive
ASPM	TOP2A	0.871424	0.871424	positive
ASPM	TPX2	0.900745	0.900745	positive
ASPM	UBE2C	0.76621	0.76621	positive
PLAU	FAP	0.63517	0.63517	positive
PLAU	ADAM12	0.601058	0.601058	positive
FCGBP	S100B	0.644732	0.644732	positive
CCL8	CCL4	0.710075	0.710075	positive
CCL8	CCL3	0.765746	0.765746	positive
CCL8	IL1B	0.614545	0.614545	positive
CCL8	CCL2	0.696227	0.696227	positive
LMO3	NAPSA	0.748048	0.748048	positive
LMO3	NKX2-1	0.719626	0.719626	positive
LMO3	HOPX	0.684743	0.684743	positive
IL1B	BCL2A1	0.672995	0.672995	positive
IL1B	CCL4	0.615599	0.615599	positive
IL1B	CSF1	0.619883	0.619883	positive
IL1B	CCL3	0.715158	0.715158	positive
IL1B	CCL2	0.696407	0.696407	positive
IL1B	OSM	0.625443	0.625443	positive
CDKN3	DLC1	-0.617269	0.617269	negative
CDKN3	CCNA2	0.891329	0.891329	positive
CDKN3	MAD2L1	0.858117	0.858117	positive
CDKN3	CCNB1	0.870713	0.870713	positive
CDKN3	CCNB2	0.886837	0.886837	positive
CDKN3	CDK1	0.883706	0.883706	positive
CDKN3	AURKB	0.861461	0.861461	positive
CDKN3	BIRC5	0.880317	0.880317	positive
CDKN3	CCNE1	0.669245	0.669245	positive
CDKN3	CCNE2	0.745434	0.745434	positive
CDKN3	CDCA5	0.846598	0.846598	positive
CDKN3	CDCA8	0.855724	0.855724	positive
CDKN3	CEP55	0.855295	0.855295	positive
CDKN3	DEPDC1B	0.848288	0.848288	positive
CDKN3	E2F8	0.628252	0.628252	positive
CDKN3	ESPL1	0.771865	0.771865	positive
CDKN3	EXO1	0.818407	0.818407	positive
CDKN3	EZH2	0.684988	0.684988	positive
CDKN3	FOXM1	0.79048	0.79048	positive
CDKN3	GTSE1	0.811532	0.811532	positive
CDKN3	IQGAP3	0.655506	0.655506	positive
CDKN3	KIF11	0.812673	0.812673	positive
CDKN3	KIF23	0.827713	0.827713	positive
CDKN3	KIFC1	0.820631	0.820631	positive
CDKN3	MKI67	0.678675	0.678675	positive
CDKN3	NEK2	0.861651	0.861651	positive
CDKN3	PBK	0.801263	0.801263	positive
CDKN3	PLK1	0.838888	0.838888	positive
CDKN3	RRM2	0.836506	0.836506	positive
CDKN3	TK1	0.751387	0.751387	positive
CDKN3	TOP2A	0.818198	0.818198	positive
CDKN3	TPX2	0.857998	0.857998	positive
CDKN3	UBE2C	0.829781	0.829781	positive
CDKN3	UBE2T	0.829827	0.829827	positive
CACNA2D2	DLC1	0.649763	0.649763	positive
CACNA2D2	ALPL	0.600494	0.600494	positive
CACNA2D2	CCNA2	-0.618557	0.618557	negative
CACNA2D2	CDCA5	-0.602799	0.602799	negative
CACNA2D2	CDCA8	-0.600156	0.600156	negative
CACNA2D2	CEP55	-0.602959	0.602959	negative
