gene_a	gene_b	weight	abs_weight	edge_type
KIF18B	CKAP2L	0.85208	0.85208	positive
KIF18B	NUF2	0.824231	0.824231	positive
KIF18B	TTK	0.85022	0.85022	positive
KIF18B	TROAP	0.899819	0.899819	positive
KIF18B	ANLN	0.816973	0.816973	positive
KIF18B	AURKA	0.794712	0.794712	positive
KIF18B	BUB1	0.864072	0.864072	positive
KIF18B	BUB1B	0.883008	0.883008	positive
KIF18B	CDC20	0.870772	0.870772	positive
KIF18B	CDC45	0.85257	0.85257	positive
KIF18B	CDC6	0.868132	0.868132	positive
KIF18B	CDT1	0.819241	0.819241	positive
KIF18B	CENPF	0.858154	0.858154	positive
KIF18B	DLGAP5	0.844011	0.844011	positive
KIF18B	HJURP	0.894663	0.894663	positive
KIF18B	HMMR	0.72073	0.72073	positive
KIF18B	KIF2C	0.900294	0.900294	positive
KIF18B	KIF4A	0.90332	0.90332	positive
KIF18B	MELK	0.862154	0.862154	positive
KIF18B	MYBL2	0.88232	0.88232	positive
KIF18B	NCAPG	0.867547	0.867547	positive
KIF18B	NCAPH	0.894283	0.894283	positive
KIF18B	NDC80	0.851974	0.851974	positive
KIF18B	PKMYT1	0.855571	0.855571	positive
KIF18B	RAD54L	0.907471	0.907471	positive
KIF18B	SKA3	0.836279	0.836279	positive
KIF18B	UHRF1	0.86546	0.86546	positive
HLF	DPP4	0.612557	0.612557	positive
HLF	HOXD1	0.621603	0.621603	positive
HLF	LRRK2	0.636739	0.636739	positive
HLF	SFTPA2	0.60052	0.60052	positive
THBS2	COL15A1	0.772377	0.772377	positive
THBS2	FNDC1	0.796495	0.796495	positive
THBS2	ITGA11	0.897774	0.897774	positive
THBS2	LRRC15	0.814118	0.814118	positive
THBS2	CILP	0.669243	0.669243	positive
THBS2	COL5A3	0.648212	0.648212	positive
THBS2	MMP11	0.682861	0.682861	positive
THBS2	SFRP2	0.755138	0.755138	positive
CDC6	CKAP2L	0.869347	0.869347	positive
CDC6	NUF2	0.82085	0.82085	positive
CDC6	TTK	0.876346	0.876346	positive
CDC6	TROAP	0.800496	0.800496	positive
CDC6	ANLN	0.848145	0.848145	positive
CDC6	AURKA	0.79053	0.79053	positive
CDC6	BUB1	0.869975	0.869975	positive
CDC6	BUB1B	0.887081	0.887081	positive
CDC6	CDC20	0.843717	0.843717	positive
CDC6	CDC45	0.873671	0.873671	positive
CDC6	CDT1	0.799867	0.799867	positive
CDC6	CENPF	0.765959	0.765959	positive
