gene_a	gene_b	weight	abs_weight	edge_type
CCNB2	AURKB	0.883958	0.883958	positive
CCNB2	BIRC5	0.903089	0.903089	positive
CCNB2	CDC20	0.900957	0.900957	positive
CCNB2	CDCA5	0.895255	0.895255	positive
CCNB2	CDK1	0.899469	0.899469	positive
CCNB2	ESPL1	0.823305	0.823305	positive
CCNB2	FOXM1	0.859857	0.859857	positive
CCNB2	KIFC1	0.87538	0.87538	positive
CCNB2	MKI67	0.76983	0.76983	positive
CCNB2	MYBL2	0.861009	0.861009	positive
CCNB2	TOP2A	0.860741	0.860741	positive
CCNB2	UBE2C	0.842783	0.842783	positive
ESPL1	CDK1	0.776757	0.776757	positive
ESPL1	AURKB	0.849452	0.849452	positive
ESPL1	BIRC5	0.816456	0.816456	positive
ESPL1	CDC20	0.861381	0.861381	positive
ESPL1	CDCA5	0.875656	0.875656	positive
ESPL1	FOXM1	0.892528	0.892528	positive
ESPL1	KIFC1	0.894825	0.894825	positive
ESPL1	MKI67	0.862154	0.862154	positive
ESPL1	MYBL2	0.874537	0.874537	positive
ESPL1	TOP2A	0.854993	0.854993	positive
ESPL1	UBE2C	0.790632	0.790632	positive
CDK1	AURKB	0.835837	0.835837	positive
CDK1	BIRC5	0.864019	0.864019	positive
CDK1	CDC20	0.853264	0.853264	positive
CDK1	CDCA5	0.849399	0.849399	positive
CDK1	FOXM1	0.787047	0.787047	positive
CDK1	KIFC1	0.826155	0.826155	positive
CDK1	MKI67	0.728034	0.728034	positive
CDK1	MYBL2	0.810296	0.810296	positive
CDK1	TOP2A	0.838133	0.838133	positive
CDK1	UBE2C	0.80478	0.80478	positive
ADAMTS1	SOX7	0.621839	0.621839	positive
AURKB	BIRC5	0.878386	0.878386	positive
AURKB	CDC20	0.896265	0.896265	positive
AURKB	CDCA5	0.871525	0.871525	positive
AURKB	FOXM1	0.836083	0.836083	positive
AURKB	KIFC1	0.882271	0.882271	positive
AURKB	MKI67	0.729264	0.729264	positive
AURKB	MYBL2	0.876455	0.876455	positive
AURKB	TOP2A	0.824228	0.824228	positive
AURKB	UBE2C	0.858249	0.858249	positive
NQO1	AKR1C3	0.737658	0.737658	positive
BIRC5	CDC20	0.913426	0.913426	positive
BIRC5	CDCA5	0.881803	0.881803	positive
BIRC5	FOXM1	0.831262	0.831262	positive
BIRC5	KIFC1	0.85521	0.85521	positive
BIRC5	MKI67	0.707129	0.707129	positive
BIRC5	MYBL2	0.853671	0.853671	positive
BIRC5	TOP2A	0.843444	0.843444	positive
BIRC5	UBE2C	0.839015	0.839015	positive
AGER	EDNRB	0.62994	0.62994	positive
EDNRB	TMEM100	0.600883	0.600883	positive
TOP2A	CDC20	0.841444	0.841444	positive
TOP2A	CDCA5	0.874486	0.874486	positive
TOP2A	FOXM1	0.835148	0.835148	positive
TOP2A	KIFC1	0.864001	0.864001	positive
TOP2A	MKI67	0.817825	0.817825	positive
TOP2A	MYBL2	0.830661	0.830661	positive
TOP2A	UBE2C	0.78694	0.78694	positive
UBE2C	CDC20	0.863587	0.863587	positive
UBE2C	CDCA5	0.833487	0.833487	positive
UBE2C	FOXM1	0.783886	0.783886	positive
UBE2C	KIFC1	0.826391	0.826391	positive
UBE2C	MKI67	0.698983	0.698983	positive
UBE2C	MYBL2	0.852975	0.852975	positive
CDCA5	CDC20	0.909278	0.909278	positive
CDCA5	FOXM1	0.905707	0.905707	positive
CDCA5	KIFC1	0.906853	0.906853	positive
CDCA5	MKI67	0.829493	0.829493	positive
CDCA5	MYBL2	0.890438	0.890438	positive
KIFC1	CDC20	0.898069	0.898069	positive
KIFC1	FOXM1	0.875914	0.875914	positive
KIFC1	MKI67	0.815456	0.815456	positive
KIFC1	MYBL2	0.887768	0.887768	positive
MYBL2	CDC20	0.896022	0.896022	positive
MYBL2	FOXM1	0.847094	0.847094	positive
MYBL2	MKI67	0.77091	0.77091	positive
CDC20	FOXM1	0.860957	0.860957	positive
CDC20	MKI67	0.760141	0.760141	positive
MKI67	FOXM1	0.875054	0.875054	positive
