gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens
CDC20,0.9735666666666672,68,99.39,1,0,False,6.832255208252132,0.0,300.0,up,True,8.932691089946207,2.100435881694075,False,True,True
MYBL2,0.9684666666666676,93,99.16,1,0,False,7.393345041203434,0.0,300.0,up,True,9.342192341375384,1.9488473001719504,False,True,True
MARCO,0.9643000000000004,104,99.06,1,0,False,2.0487101621909263,1.2268479984786506e-66,65.9112092412756,up,True,9.023294522272222,6.974584360081296,False,True,True
RASD1,0.9576666666666664,132,98.81,1,0,False,4.45570881547039,1.0176707887964426e-211,210.9923926912845,up,True,9.837367021681894,5.381658206211504,False,True,True
CTSE,0.947499999999999,171,98.45,1,0,False,5.210954621992344,4.748497294115498e-158,157.3234438051385,up,True,10.587478823685448,5.376524201693104,False,True,True
CHI3L2,0.947033333333332,172,98.44,1,0,False,2.3114956491993555,1.349418287324388e-81,80.86985340857953,up,True,7.4482628795125585,5.136767230313203,False,True,True
C15ORF48,0.9436666666666664,183,98.34,1,0,False,6.398675045418138,0.0,300.0,up,True,9.24208570366082,2.8434106582426826,False,True,True
TPSAB1,0.9425666666666666,188,98.3,1,0,False,2.194082451580427,7.045919427137236e-111,110.15206232745476,up,True,8.467643799327654,6.2735613477472265,False,True,True
COMP,0.9422666666666664,189,98.29,1,0,False,5.028367402617793,1.7314351678634592e-201,200.7615937656024,up,True,8.452316496350477,3.423949093732684,False,True,True
PKP1,0.942166666666666,190,98.28,1,0,False,4.050089469292162,2.266520063171436e-115,114.6446404322258,up,True,6.970202253776819,2.9201127844846564,False,True,True
KRT17,0.9342333333333324,225,97.96,1,0,False,6.21767384175,1.7315126481105012e-232,231.7615743317296,up,True,9.055993481320572,2.838319639570572,False,True,True
MFAP5,0.9337666666666666,228,97.93,1,0,False,2.705070813875549,4.030505873112654e-93,92.39464044167192,up,True,5.530226949245777,2.825156135370228,False,True,True
BUB1B,0.9329333333333328,231,97.91,1,0,False,6.377430915872426,0.0,300.0,up,True,7.8488970551654464,1.4714661392930204,False,True,True
