gene,pu_score,pu_rank,label,is_lcgene_gene,is_val_gene,is_query_gene,pu_novel_candidate
SLCO4A1,0.9945333333333347,1,1,True,False,False,False
ID1,0.9939333333333341,2,1,True,False,False,False
CLDN18,0.9926666666666675,3,1,True,False,False,False
PLA2G2A,0.992300000000001,4,1,True,False,False,False
CXCL2,0.9919666666666673,5,1,True,False,False,False
MT1G,0.9919000000000011,6,1,True,False,False,False
TCF21,0.9908000000000013,7,1,True,False,False,False
RRAD,0.9903666666666676,8,1,True,False,False,False
S100P,0.9903333333333342,9,1,True,False,False,False
SAA1,0.9903000000000018,10,1,True,False,False,False
LTF,0.9903000000000013,11,1,True,False,False,False
AREG,0.9897666666666677,12,1,True,False,False,False
TFPI2,0.989700000000001,13,1,True,False,False,False
CCL21,0.9896666666666679,14,1,True,False,False,False
GPC3,0.9894666666666687,15,1,True,False,False,False
HP,0.9894000000000007,16,1,True,False,False,False
CLDN5,0.989366666666668,17,1,True,False,False,False
FOXM1,0.9893333333333348,18,1,True,False,False,False
FGFR4,0.9887666666666678,19,1,True,False,False,False
TMEM100,0.9886000000000015,20,1,True,False,False,False
ZBTB16,0.9881333333333351,21,1,True,False,False,False
CDK1,0.9877000000000016,22,1,True,False,False,False
SERPINA3,0.9864333333333345,23,1,True,True,False,False
UCHL1,0.9862666666666674,24,1,True,False,False,False
LCN2,0.9854333333333352,25,1,True,False,False,False
CXCL5,0.9852333333333343,26,1,True,False,False,False
TFF3,0.9833666666666677,27,1,True,False,False,False
HPGD,0.9833333333333337,28,1,True,False,False,False
IL6,0.9833000000000012,29,1,True,False,False,False
CXCL1,0.9824333333333344,30,1,True,False,False,False
KIFC1,0.9823666666666669,31,1,True,False,False,False
KLF4,0.9817666666666676,32,1,True,False,False,False
AQP5,0.9817333333333346,33,1,True,False,False,False
AGER,0.9817000000000013,34,1,True,False,False,False
SLCO2A1,0.9815000000000009,35,1,True,False,False,False
CXCL14,0.9808000000000008,36,1,True,False,False,False
SERPINE1,0.9803000000000003,37,1,True,False,False,False
KRT5,0.9802666666666675,38,1,True,False,False,False
CCL20,0.980000000000001,39,1,True,False,False,False
ELN,0.9798666666666676,40,1,True,False,False,False
NR4A1,0.9792000000000007,41,1,True,False,False,False
ANGPTL4,0.9790666666666673,42,1,True,False,False,False
CCNB2,0.9789000000000012,43,1,True,False,False,False
CDCA5,0.9789000000000004,44,1,True,False,False,False
RETN,0.9788333333333348,45,1,True,False,False,False
MSLN,0.9788333333333338,46,1,True,False,False,False
PTX3,0.9787666666666678,47,1,True,False,False,False
CHI3L1,0.9785666666666676,48,1,True,False,False,False
ADH1B,0.978166666666667,49,1,True,False,False,False
SCGB3A1,0.9780333333333336,50,1,True,False,False,False
SLC11A1,0.9779000000000008,51,1,True,False,False,False
CD274,0.9776333333333344,52,1,True,False,False,False
CLDN1,0.9774666666666678,53,1,True,False,False,False
OLFM4,0.9773000000000007,54,1,True,False,False,False
ALDH1A1,0.9771666666666672,55,1,True,False,False,False
CCL2,0.9771666666666666,56,1,True,False,False,False
S100A8,0.9769000000000008,57,1,True,False,False,False
GRP,0.9754666666666666,58,1,True,False,False,False
ESPL1,0.9752,59,1,True,False,False,False
EREG,0.9749333333333338,60,1,True,False,False,False
TNS4,0.9745333333333338,61,1,True,False,False,False
MMP8,0.9744666666666666,62,1,True,False,False,False
LYVE1,0.9742999999999995,63,1,True,False,False,False
NPTX1,0.9741666666666671,64,1,True,False,False,False
PTGDS,0.973900000000001,65,1,True,False,False,False
SOX7,0.9737666666666674,66,1,True,False,False,False
AZGP1,0.9737333333333336,67,1,True,False,False,False
CDC20,0.9735666666666672,68,0,False,True,False,True
ANPEP,0.973500000000001,69,1,True,False,False,False
GREM1,0.9732333333333342,70,1,True,False,False,False
SPNS2,0.9731000000000001,71,1,True,False,False,False
PROM1,0.9727000000000011,72,1,True,False,False,False
CXCR1,0.9724000000000003,73,1,True,False,False,False
UBE2C,0.9720666666666674,74,1,True,False,False,False
BIRC5,0.9716666666666675,75,1,True,False,False,False
NQO1,0.9715666666666666,76,1,True,False,False,False
TOP2A,0.9715666666666661,77,1,True,False,False,False
C4BPA,0.9713000000000004,78,1,True,False,False,False
FCGBP,0.9712666666666671,79,1,True,False,False,False
AKR1C3,0.9710999999999995,80,1,True,False,False,False
ADAMTS1,0.9706666666666672,81,1,True,False,False,False
TMSB15A,0.9706000000000002,82,1,True,False,False,False
GSTA1,0.970466666666667,83,1,True,False,False,False
SPOCK1,0.9703666666666667,84,1,True,False,False,False
MKI67,0.9702666666666664,85,1,True,False,False,False
EDN1,0.969733333333334,86,1,True,False,False,False
SCGB3A2,0.9693999999999994,87,1,True,True,False,False
IGFBP2,0.9693333333333334,88,1,True,False,False,False
SAA2,0.9693000000000008,89,1,True,False,False,False
FGFR3,0.9692333333333333,90,1,True,False,False,False
MMP7,0.9690999999999999,91,1,True,False,False,False
PEG10,0.9687333333333339,92,1,True,False,False,False
MYBL2,0.9684666666666675,93,0,False,True,False,True
FABP3,0.9684666666666667,94,1,True,False,False,False
SLPI,0.9684333333333336,95,1,True,False,False,False
CXCR2,0.9682333333333336,96,1,True,False,False,False
EDNRB,0.9679,97,1,True,False,False,False
AURKB,0.9663666666666669,98,1,True,False,False,False
SOX2,0.9662666666666673,99,1,True,False,False,False
ORM1,0.966233333333334,100,1,True,True,False,False
PLAT,0.9657999999999993,101,1,True,False,False,False
PCSK2,0.9647000000000002,102,1,True,False,False,False
ASPM,0.9646666666666662,103,1,True,False,False,False
MARCO,0.9643000000000003,104,0,False,True,False,True
MMP12,0.9641333333333335,105,1,True,False,False,False
PEBP4,0.9639666666666658,106,1,True,False,False,False
MMP1,0.9639000000000001,107,1,True,False,False,False
RXRG,0.9636666666666666,108,1,True,False,False,False
ADRB2,0.9634999999999998,109,1,True,False,False,False
MME,0.9632666666666664,110,1,True,False,False,False
NR4A2,0.963233333333333,111,1,True,False,False,False
FGG,0.9630999999999998,112,1,True,False,False,False
PIGR,0.9628666666666668,113,1,True,False,False,False
ITGB8,0.9626666666666661,114,1,True,False,False,False
DKK1,0.9624333333333334,115,1,True,False,False,False
CLDN10,0.9622,116,1,True,False,False,False
SELE,0.9620666666666665,117,1,True,False,False,False
HTRA3,0.9619666666666666,118,1,True,False,False,False
WNT3A,0.9619,119,1,True,False,False,False
SFRP4,0.9617333333333339,120,1,True,False,False,False
CCL4,0.9617000000000003,121,1,True,False,False,False
SRPX,0.9616666666666663,122,1,True,True,False,False
CAMP,0.9613333333333333,123,1,True,True,False,False
SCGB1A1,0.9606999999999999,124,1,True,False,False,False
DUOX1,0.9606,125,1,True,True,False,False
S100A2,0.9605999999999989,126,1,True,False,False,False
ALPL,0.9599666666666671,127,1,True,False,False,False
PTGS2,0.9594666666666669,128,1,True,False,False,False
CA2,0.9593333333333328,129,1,True,False,False,False
CALCA,0.9582999999999995,130,1,True,False,False,False
IQGAP3,0.9579666666666666,131,1,True,False,False,False
RASD1,0.9576666666666663,132,0,False,True,False,True
CTHRC1,0.9575333333333331,133,1,True,True,False,False
PTPRZ1,0.957533333333332,134,1,True,False,False,False
HOPX,0.9573999999999994,135,1,True,False,False,False
WIF1,0.9563666666666669,136,1,True,True,False,False
CCL3,0.9555666666666666,137,1,True,False,False,False
TNC,0.9555333333333338,138,1,True,False,False,False
SLC7A5,0.9553666666666659,139,1,True,False,False,False
CAV1,0.9550666666666661,140,1,True,False,False,False
ESM1,0.9549666666666657,141,1,True,False,False,False
GTSE1,0.9547666666666672,142,1,True,False,False,False
CSF3,0.9538999999999995,143,1,True,False,False,False
CYP1A1,0.9537999999999998,144,1,True,False,False,False
MXRA5,0.9536000000000003,145,1,True,False,False,False
CDH3,0.9535333333333328,146,1,True,False,False,False
IL33,0.9530333333333332,147,1,True,False,False,False
CFB,0.9523666666666664,148,1,True,False,False,False
NEK2,0.952066666666666,149,1,True,False,False,False
BCL2A1,0.9518333333333328,150,1,True,False,False,False
FHL1,0.9518000000000004,151,1,True,False,False,False
COL10A1,0.9517000000000005,152,1,True,False,False,False
AKR1C1,0.9516999999999994,153,1,True,False,False,False
BMPER,0.9516999999999992,154,1,True,False,False,False
CCL17,0.9515999999999991,155,1,True,False,False,False
CCL18,0.9514666666666662,156,1,True,False,False,False
LPL,0.9512,157,1,True,True,False,False
EGFL7,0.950833333333333,158,1,True,False,False,False
CCNA2,0.9507999999999994,159,1,True,False,False,False
LOX,0.9504,160,1,True,False,False,False
KIF23,0.9503666666666661,161,1,True,False,False,False
GSTA2,0.9502666666666666,162,1,True,False,False,False
PLK1,0.9494333333333326,163,1,True,False,False,False
TPX2,0.9491333333333339,164,1,True,True,False,False
VSIG4,0.9490666666666656,165,1,True,False,False,False
SFRP1,0.948933333333333,166,1,True,False,False,False
SERPIND1,0.9486999999999989,167,1,True,False,False,False
CDA,0.9486666666666663,168,1,True,False,False,False
CDCA8,0.9486333333333327,169,1,True,False,False,False
KLK10,0.9485666666666659,170,1,True,False,False,False
CTSE,0.947499999999999,171,0,False,True,False,True
CHI3L2,0.9470333333333321,172,0,False,False,False,True
OSM,0.9466666666666659,173,1,True,False,False,False
SERPINB3,0.9461999999999997,174,1,True,False,False,False
MMP10,0.9455333333333332,175,1,True,False,False,False
TMPRSS4,0.9454333333333328,176,1,True,False,False,False
IL7R,0.9449333333333332,177,1,True,False,False,False
CLDN3,0.9449333333333326,178,1,True,False,False,False
PMAIP1,0.9447333333333322,179,1,True,False,False,False
PTN,0.9440999999999993,180,1,True,False,False,False
LMO3,0.9437333333333333,181,1,True,False,False,False
MUC4,0.9436999999999997,182,1,True,False,False,False
C15ORF48,0.9436666666666665,183,0,False,True,False,True
TUBB2A,0.9433666666666655,184,1,True,False,False,False
AGR2,0.9431999999999999,185,1,True,False,False,False
CXCL13,0.9430333333333333,186,1,True,False,False,False
CDKN3,0.9429999999999988,187,1,True,False,False,False
TPSAB1,0.9425666666666666,188,0,False,True,False,True
COMP,0.9422666666666665,189,0,False,True,False,True
PKP1,0.942166666666666,190,0,False,False,False,True
SPP1,0.9420666666666663,191,1,True,True,False,False
ADH1C,0.9418999999999992,192,1,True,False,False,False
