gene,predicted_prob,rank,percentile,predicted_label,label,is_lcgene_gene,log2fc,pvalue_adj,neg_log10_padj,direction,is_de_significant,mean_tumor,mean_normal,is_query_gene,novel_candidate,novel_candidate_sens,degree,weighted_degree,betweenness_centrality,eigenvector_centrality,clustering_coefficient,in_largest_component,mean_edge_weight,tumor_mean,tumor_std,normal_mean,normal_std,abs_log2fc_rank,neg_log10_padj_rank
SLCO4A1,0.994533,1,100.0,1,1,True,0.318963,0.000771,3.112756,ns,False,6.761752,6.442789,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.761752,1.830518,6.442789,1.190448,0.012288,0.009831
ID1,0.993933,2,99.99,1,1,True,1.800693,0.0,92.471523,ns,False,9.66038,7.859687,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.66038,1.46677,7.859687,1.058735,0.09949,0.101948
CLDN18,0.992667,3,99.98,1,1,True,0.313525,0.061797,1.209034,ns,False,7.44774,7.134215,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.44774,3.568111,7.134215,1.321927,0.012015,0.005461
PLA2G2A,0.9923,4,99.97,1,1,True,-0.743464,0.0,7.295493,ns,False,4.857883,5.601347,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,4.857883,2.343847,5.601347,2.116685,0.03377,0.016749
CXCL2,0.991967,5,99.96,1,1,True,1.70815,0.0,64.264405,ns,False,8.54264,6.83449,False,False,False,1,0.740647,0.0,0.0,0.0,0,0.740647,8.54264,1.616057,6.83449,1.474763,0.091844,0.076825
MT1G,0.9919,6,99.95,1,1,True,0.66702,0.0,9.477662,ns,False,5.465519,4.798499,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,5.465519,1.8159,4.798499,1.658035,0.030857,0.01957
TCF21,0.9908,7,99.95,1,1,True,0.470727,0.0,8.615854,ns,False,6.929884,6.459157,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.929884,1.595158,6.459157,0.800747,0.019479,0.018751
RRAD,0.990367,8,99.94,1,1,True,1.607406,0.0,57.124725,ns,False,8.209702,6.602295,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.209702,1.871802,6.602295,0.949642,0.084653,0.06927
S100P,0.990333,9,99.93,1,1,True,3.645426,0.0,85.95971,up,True,9.809127,6.163701,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.809127,3.325889,6.163701,1.432507,0.327872,0.096304
SAA1,0.9903,10,99.92,1,1,True,1.737766,0.0,31.169896,ns,False,6.371183,4.633418,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.371183,2.597168,4.633418,2.057364,0.094484,0.043237
LTF,0.9903,11,99.91,1,1,True,4.841868,0.0,163.783117,up,True,9.405301,4.563433,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.405301,2.720431,4.563433,1.632849,0.627526,0.177135
AREG,0.989767,12,99.9,1,1,True,2.470122,0.0,80.770854,up,True,8.213282,5.74316,False,False,False,1,0.610956,0.0,0.0,0.0,0,0.610956,8.213282,2.27512,5.74316,1.339021,0.156654,0.09148
TFPI2,0.9897,13,99.89,1,1,True,5.535017,0.0,167.969459,up,True,8.622359,3.087342,False,False,False,1,0.606762,0.0,0.0,0.0,0,0.606762,8.622359,3.067806,3.087342,1.493519,0.804114,0.180867
CCL21,0.989667,14,99.88,1,1,True,1.318645,0.0,41.771099,ns,False,9.189239,7.870594,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.189239,1.66082,7.870594,1.351487,0.065356,0.053341
GPC3,0.989467,15,99.87,1,1,True,0.418885,1e-06,5.961431,ns,False,7.915599,7.496714,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.915599,1.784401,7.496714,0.776451,0.01684,0.014564
HP,0.9894,16,99.86,1,1,True,4.087181,0.0,102.941842,up,True,8.643487,4.556306,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.643487,3.222526,4.556306,1.859525,0.424449,0.111961
CLDN5,0.989367,17,99.85,1,1,True,0.295425,8e-06,5.095686,ns,False,8.545103,8.249677,False,False,False,16,10.175359,0.0,5.1e-05,0.632773,1,0.63596,8.545103,1.262151,8.249677,0.850264,0.011651,0.012835
FOXM1,0.989333,18,99.85,1,1,True,7.174815,0.0,300.0,up,True,9.285599,2.110783,False,False,False,209,156.017274,0.001229,0.000144,0.538571,1,0.746494,9.285599,1.413588,2.110783,0.948377,0.983524,0.666394
FGFR4,0.988767,19,99.84,1,1,True,0.532384,0.0,8.905944,ns,False,7.327277,6.794892,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.327277,1.801264,6.794892,0.809937,0.022574,0.019024
TMEM100,0.9886,20,99.83,1,1,True,-1.371947,0.0,35.474308,ns,False,6.153632,7.525579,False,False,False,11,6.788799,0.0,2.6e-05,0.621717,1,0.617164,6.153632,1.963222,7.525579,1.422252,0.069634,0.04706
ZBTB16,0.988133,21,99.82,1,1,True,-0.479198,1.6e-05,4.801229,ns,False,4.940976,5.420174,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,4.940976,2.152248,5.420174,1.338234,0.019843,0.012652
CDK1,0.9877,22,99.81,1,1,True,6.498931,0.0,300.0,up,True,9.06129,2.562359,False,False,False,205,153.53335,0.000127,0.000141,0.562091,1,0.748943,9.06129,1.252077,2.562359,0.905308,0.951211,0.666394
SERPINA3,0.986433,23,99.8,1,1,True,2.569816,0.0,78.103629,up,True,8.953263,6.383448,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.953263,2.466552,6.383448,1.221368,0.167031,0.088567
UCHL1,0.986267,24,99.79,1,1,True,4.484163,0.0,165.983411,up,True,8.532164,4.048001,False,False,False,3,1.851133,8.1e-05,0.0,0.0,1,0.617044,8.532164,2.503886,4.048001,1.034341,0.523758,0.179319
LCN2,0.985433,25,99.78,1,1,True,4.974548,0.0,207.329723,up,True,10.528845,5.554297,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,10.528845,2.270957,5.554297,1.727567,0.661751,0.222556
CXCL5,0.985233,26,99.77,1,1,True,3.08872,0.0,90.477091,up,True,6.640992,3.552272,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,6.640992,2.613049,3.552272,1.656706,0.231385,0.099945
TFF3,0.983367,27,99.76,1,1,True,4.460854,0.0,130.683503,up,True,8.789364,4.328509,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.789364,3.023182,4.328509,1.18024,0.517932,0.140725
HPGD,0.983333,28,99.75,1,1,True,4.05347,0.0,168.634119,up,True,9.915379,5.861909,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.915379,2.235394,5.861909,0.964658,0.417076,0.181322
IL6,0.9833,29,99.75,1,1,True,1.277055,0.0,27.053945,ns,False,6.371507,5.094452,False,False,False,2,1.29316,4.1e-05,0.0,0.0,1,0.64658,6.371507,1.737572,5.094452,2.057753,0.063535,0.040142
CXCL1,0.982433,30,99.74,1,1,True,2.891817,0.0,125.930139,up,True,7.987225,5.095408,False,False,False,1,0.653113,0.0,0.0,0.0,0,0.653113,7.987225,1.822167,5.095408,1.627397,0.204351,0.135172
KIFC1,0.982367,31,99.73,1,1,True,6.32426,0.0,300.0,up,True,8.579121,2.254861,False,False,False,217,165.818631,0.000589,0.000148,0.540683,1,0.764141,8.579121,1.250569,2.254861,0.811746,0.935827,0.666394
KLF4,0.981767,32,99.72,1,1,True,1.664601,0.0,94.972884,ns,False,8.924332,7.25973,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,8.924332,1.353066,7.25973,0.907686,0.088567,0.103859
AQP5,0.981733,33,99.71,1,1,True,4.296473,0.0,103.369602,up,True,7.721999,3.425526,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.721999,3.432329,3.425526,1.413422,0.475423,0.112598
AGER,0.9817,34,99.7,1,1,True,-1.319048,0.0,26.694151,ns,False,8.654759,9.973807,False,False,False,19,12.453013,3.4e-05,1.4e-05,0.261884,1,0.655422,8.654759,2.431315,9.973807,1.077526,0.065447,0.039232
SLCO2A1,0.9815,35,99.69,1,1,True,1.926411,0.0,125.121513,ns,False,9.957787,8.031376,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.957787,1.3189,8.031376,0.80998,0.108866,0.134535
CXCL14,0.9808,36,99.68,1,1,True,6.099929,0.0,203.010283,up,True,9.232963,3.133035,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,9.232963,2.883538,3.133035,1.602561,0.906062,0.219006
SERPINE1,0.9803,37,99.67,1,1,True,2.28495,0.0,103.454561,up,True,10.535349,8.250399,False,False,False,4,2.481557,0.0,2e-06,0.324361,1,0.620389,10.535349,1.485741,8.250399,1.664161,0.139086,0.112689
KRT5,0.980267,38,99.66,1,1,True,3.120986,0.0,82.581038,up,True,5.646967,2.525981,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,5.646967,2.85147,2.525981,1.519216,0.235937,0.093665
CCL20,0.98,39,99.65,1,1,True,4.51025,0.0,172.92333,up,True,7.990868,3.480618,False,False,False,0,0.0,0.0,0.0,0.0,0,0.0,7.990868,2.259786,3.480618,2.091795,0.531404,0.186146
